Time (seconds).1,Player Count,Bystander Count
0,4,5
1,5,4
2,4,2
3,4,3
4,3,3
5,4,3
6,3,6
7,5,5
8,4,4
9,5,6
10,4,5
11,3,4
12,4,6
13,4,6
14,4,6
15,4,5
16,4,5
17,4,6
18,2,5
19,4,3
20,3,4
21,3,3
22,4,3
23,3,3
24,6,5
25,4,4
26,3,6
27,5,5
28,5,4
29,3,5
30,4,5
31,4,5
32,4,4
33,4,3
34,4,2
35,3,3
36,4,3
37,4,5
38,4,4
39,4,2
40,4,5
41,4,2
42,4,2
43,3,3
44,4,2
45,4,4
46,6,3
47,4,2
48,4,3
49,4,4
50,4,6
51,4,4
52,3,3
53,4,5
54,4,8
55,4,5
56,3,4
57,3,5
58,5,5
59,4,4
60,4,2
61,4,2
62,4,2
63,4,3
64,4,3
65,3,3
66,4,4
67,6,3
68,2,4
